M,,m,,dim,,aug,,sus4,,sus2,,7,,m7,,M7,,m7b5,,7b5,,7sus4,,add9,,madd9,,mM7,,dim7,,6,,m6,,69,,m69,,7(b9),,7(9),,7(#9),,7(#11),,7(b13),,7(13),,m7(9),,m7(11),,M7(9),,mM7(9),,M7b5,,dim M7,,aug 7,,aug M7,,b5,,5,,8,
0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60
0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61,0,61
0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,63,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,61,0,62,0,63,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62,0,62
0,63,0,62,0,62,0,63,0,63,0,63,0,63,0,62,0,63,0,62,0,63,0,63,0,63,0,62,0,62,0,62,0,63,0,62,0,63,0,62,0,63,0,63,0,63,0,63,0,63,0,63,0,62,0,62,0,63,0,62,0,63,0,62,0,63,0,63,0,63,0,63,0,63
0,64,0,63,0,63,0,64,0,65,0,62,0,64,0,63,0,64,0,63,0,64,0,65,0,64,0,63,0,63,0,63,0,64,0,63,0,64,0,63,0,64,0,64,0,64,0,64,0,64,0,64,0,63,0,63,0,64,0,63,0,64,0,63,0,64,0,64,0,64,0,64,0,64
0,65,0,65,0,65,0,66,0,65,0,65,0,65,0,65,0,65,0,65,0,64,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,65,0,66,0,65,0,65,0,65,0,65,0,65,0,65,0,64,0,65,0,66,0,66,0,64,0,65,0,65
0,66,0,66,0,65,0,67,0,66,0,66,0,66,0,66,0,66,0,65,0,65,0,66,0,66,0,66,0,66,0,65,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,66,0,65,0,65,0,67,0,67,0,65,0,66,0,66
0,67,0,67,0,66,0,68,0,67,0,67,0,67,0,67,0,67,0,66,0,66,0,67,0,67,0,67,0,67,0,66,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,67,0,66,0,66,0,68,0,68,0,66,0,67,0,67
0,68,0,69,0,68,0,69,0,68,0,68,0,68,0,69,0,68,0,69,0,68,0,68,0,68,0,69,0,69,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,69,0,69,0,68,0,69,0,68,0,68,0,69,0,69,0,68,0,68,0,68
0,69,0,70,0,69,0,70,0,69,0,69,0,69,0,70,0,69,0,70,0,69,0,69,0,69,0,70,0,71,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,69,0,68,0,69,0,70,0,70,0,69,0,71,0,69,0,69,0,70,0,69,0,69,0,69,0,69
